County,State,Population,HouseholdIncome,TotalDebt,Multiple
Goodhue County,Minnesota,46138,62431,87300.0,1.3983437715237623
Hubbard County,Minnesota,20743,52941,83088.0,1.569445231484105
Isanti County,Minnesota,38584,67565,97228.0,1.439029083105158
Martin County,Minnesota,20084,53627,91553.0,1.707218378801723
Mower County,Minnesota,39386,53700,79600.0,1.4823091247672253
Nobles County,Minnesota,21854,53267,85380.0,1.6028685677811778
Pine County,Minnesota,29057,47285,78831.0,1.6671460293962144
Olmsted County,Minnesota,151685,72337,83304.0,1.1516098262300067
Scott County,Minnesota,141463,93151,72508.0,0.7783920730856352
Wabasha County,Minnesota,21490,61973,105982.0,1.7101318316040857
Crow Wing County,Minnesota,63505,53121,86271.0,1.6240469870672616
Wright County,Minnesota,131130,77953,67555.0,0.8666119328313214
Nicollet County,Minnesota,33477,62593,104500.0,1.6695157605483042
Douglas County,Minnesota,36891,58667,66783.0,1.1383401230674826
Le Sueur County,Minnesota,27810,65500,142207.0,2.171099236641221
Chisago County,Minnesota,54297,76747,95205.0,1.240504514834456
Beltrami County,Minnesota,45847,45923,59519.0,1.2960607974217713
Blue Earth County,Minnesota,65767,53752,72957.0,1.3572890311058192
Otter Tail County,Minnesota,57790,55181,77759.0,1.4091625740744096
Waseca County,Minnesota,18898,55189,63638.0,1.1530921016869304
St. Louis County,Minnesota,200294,50936,68957.0,1.35379692162714
Anoka County,Minnesota,344861,76796,85433.0,1.1124667951455804
Stearns County,Minnesota,155300,59564,76300.0,1.280975085622188
Dakota County,Minnesota,414655,79995,79013.0,0.9877242327645478
Lyon County,Minnesota,25789,54181,77304.0,1.4267732230855834
Mille Lacs County,Minnesota,25635,53737,82150.0,1.5287418352345683
Washington County,Minnesota,250979,89598,89155.0,0.9950556932074377
Carlton County,Minnesota,35408,58874,102747.0,1.7452016170126032
Kanabec County,Minnesota,15948,50509,77082.0,1.5261042586469737
Meeker County,Minnesota,23105,59611,68944.0,1.1565650634949924
Morrison County,Minnesota,32880,52855,81987.0,1.551168290606376
Rice County,Minnesota,65251,63311,93068.0,1.4700131098861178
Steele County,Minnesota,36612,58882,76928.0,1.3064773615026664
Sherburne County,Minnesota,92024,83895,73400.0,0.8749031527504619
Benton County,Minnesota,39360,53574,65517.0,1.22292529958562
Carver County,Minnesota,98799,93095,79062.0,0.8492615070626779
Freeborn County,Minnesota,30619,51174,101429.0,1.9820416617813734
Itasca County,Minnesota,45237,52050,93288.0,1.7922766570605186
McLeod County,Minnesota,35816,59869,70538.0,1.1782057492191285
Ramsey County,Minnesota,537893,60301,89532.0,1.4847514966584303
Winona County,Minnesota,50992,53975,78805.0,1.4600277906438166
Hancock County,Mississippi,46277,47518,98792.0,2.0790437307967506
Forrest County,Mississippi,75835,39555,76281.0,1.9284793325748957
Lafayette County,Mississippi,52744,45019,97290.0,2.1610875408160997
Jackson County,Mississippi,141314,50274,106036.0,2.1091617933723197
Lowndes County,Mississippi,59558,43198,84690.0,1.9605074308995787
Leflore County,Mississippi,30113,25210,50554.0,2.0053153510511703
Harrison County,Mississippi,200491,44684,91925.0,2.0572240623041806
Lauderdale County,Mississippi,78221,41340,137092.0,3.3162070633768748
Lincoln County,Mississippi,34542,37308,102177.0,2.7387423608877453
Scott County,Mississippi,28399,33601,102621.0,3.0541055325734354
Yazoo County,Mississippi,27496,28330,58195.0,2.054182845040593
Coahoma County,Mississippi,24296,28728,96550.0,3.3608326371484267
Jones County,Mississippi,68328,38656,91367.0,2.363591680463576
Monroe County,Mississippi,35967,39444,62420.0,1.5824967041882163
Pontotoc County,Mississippi,31075,41865,81407.0,1.944512122297862
Sunflower County,Mississippi,26915,28556,51030.0,1.7870149880935706
Alcorn County,Mississippi,37242,38919,89620.0,2.3027313137542076
Adams County,Mississippi,31583,30359,119185.0,3.92585394775849
Clay County,Mississippi,19990,34118,57471.0,1.6844774019579107
DeSoto County,Mississippi,173267,62595,81875.0,1.3080118220305137
Holmes County,Mississippi,18267,20330,51571.0,2.536694540088539
Madison County,Mississippi,102212,68600,95238.0,1.3883090379008747
Marshall County,Mississippi,35981,41134,111913.0,2.720693343705937
Bolivar County,Mississippi,33121,28468,73405.0,2.578509203316004
Lamar County,Mississippi,60517,56129,90152.0,1.6061572449179569
Lee County,Mississippi,84840,45985,93559.0,2.034554746112863
Pike County,Mississippi,39763,30949,109179.0,3.527706872596853
Warren County,Mississippi,47510,41635,88378.0,2.122685240782995
Oktibbeha County,Mississippi,49392,37348,75926.0,2.03293349041448
Pearl River County,Mississippi,55049,44734,113285.0,2.53241382393705
Rankin County,Mississippi,149645,61605,105172.0,1.7071990909828747
Tate County,Mississippi,28333,46233,73819.0,1.5966733718339714
Washington County,Mississippi,48002,29387,90739.0,3.0877258651784802
Panola County,Mississippi,34229,35891,94571.0,2.634950266083419
Chickasaw County,Mississippi,17305,33579,60261.0,1.7946037702135262
Copiah County,Mississippi,28748,38046,54417.0,1.4302949061662198
Hinds County,Mississippi,243249,41011,86000.0,2.0969983662919702
Union County,Mississippi,28202,40076,134658.0,3.360065874837808
Prentiss County,Mississippi,25389,32854,64885.0,1.9749497778048335
Howell County,Missouri,40139,34984,112546.0,3.217070660873542
Johnson County,Missouri,53941,50689,79625.0,1.570853636883742
Laclede County,Missouri,35488,42646,87500.0,2.0517750785536744
Phelps County,Missouri,44873,41681,86650.0,2.0788848636069193
Platte County,Missouri,96899,74199,89610.0,1.2076982169571018
St. Francois County,Missouri,66248,42873,105429.0,2.459100132950808
St. Louis city,Missouri,314867,38664,94732.0,2.4501344920339334
Butler County,Missouri,42826,37878,105958.0,2.7973493848672053
Marion County,Missouri,28703,44098,98165.0,2.2260646741348813
Stoddard County,Missouri,29634,40076,83038.0,2.0720131749675614
Warren County,Missouri,33554,56193,98757.0,1.7574608937056218
Audrain County,Missouri,25763,44056,88127.0,2.0003404757581262
Christian County,Missouri,83028,55761,87079.0,1.5616470292857014
Greene County,Missouri,286759,43175,84135.0,1.9486971627099015
Lafayette County,Missouri,32655,52557,107807.0,2.0512396065224423
Adair County,Missouri,25437,38750,87706.0,2.2633806451612903
Camden County,Missouri,44855,50496,160600.0,3.180449936628644
Jasper County,Missouri,118522,45328,92144.0,2.0328273914578188
Jefferson County,Missouri,222639,60765,85433.0,1.405957376779396
Polk County,Missouri,31347,44805,89282.0,1.9926793884611091
Ray County,Missouri,22859,57270,97521.0,1.7028287061288634
Stone County,Missouri,31529,43292,134850.0,3.1148942067818535
St. Louis County,Missouri,999539,62931,100000.0,1.589041966598338
Scott County,Missouri,38858,41628,113500.0,2.726530220044201
Barry County,Missouri,35398,40638,76700.0,1.8873960332693538
Boone County,Missouri,174589,52005,86943.0,1.6718200173060282
Cole County,Missouri,76749,54216,104111.0,1.9203002803600413
Crawford County,Missouri,24387,37171,80614.0,2.168733690242393
Pettis County,Missouri,42309,43097,97808.0,2.2694851149732
Dunklin County,Missouri,30905,32348,205189.0,6.343174230246074
Franklin County,Missouri,102413,53849,85064.0,1.5796765028134228
Jackson County,Missouri,688554,50652,92445.0,1.8251006870409856
Lawrence County,Missouri,38131,41673,86308.0,2.0710771962661676
Miller County,Missouri,24947,41461,83688.0,2.0184751935553895
Pulaski County,Missouri,53132,51137,63889.0,1.2493693411815319
Taney County,Missouri,54308,39661,92992.0,2.344671087466277
Texas County,Missouri,25714,35571,143108.0,4.023164937730173
Buchanan County,Missouri,89425,48652,86244.0,1.772671215982899
Callaway County,Missouri,44793,53180,83159.0,1.5637269650244452
Cass County,Missouri,101888,65352,95812.0,1.466091320847105
Clinton County,Missouri,20495,57591,74388.0,1.2916601552325884
Lincoln County,Missouri,54800,58603,99806.0,1.7030868726856987
Newton County,Missouri,58237,46723,81486.0,1.7440232861759732
St. Charles County,Missouri,385115,78380,84071.0,1.0726078081143149
Clay County,Missouri,236068,65675,93168.0,1.4186220022839742
Saline County,Missouri,23010,41567,98276.0,2.3642793562200786
Nodaway County,Missouri,22744,41370,80948.0,1.95668358714044
Cape Girardeau County,Missouri,78013,49554,90222.0,1.8206804697905314
Webster County,Missouri,37558,45185,101621.0,2.2489985614695143
Silver Bow County,Montana,34514,40480,92956.0,2.2963438735177863
Lake County,Montana,29518,42582,95625.0,2.2456671833168946
Lewis and Clark County,Montana,66290,60789,91624.0,1.5072463768115942
Yellowstone County,Montana,156332,57955,83406.0,1.4391510654818394
Missoula County,Montana,114231,49412,90100.0,1.8234436978871529
Ravalli County,Montana,41387,44733,131000.0,2.9284867994545416
Cascade County,Montana,81816,46827,100981.0,2.15646955816089
Gallatin County,Montana,100733,59397,89148.0,1.5008838830243951
Flathead County,Montana,96147,51410,126817.0,2.46677689165532
Seward County,Nebraska,17045,63095,63773.0,1.0107457009271734
Dakota County,Nebraska,20529,52401,83138.0,1.586572775328715
Gage County,Nebraska,21632,52223,73161.0,1.4009344541677038
Madison County,Nebraska,35062,49865,86820.0,1.7411009726260904
Saunders County,Nebraska,20953,65015,109747.0,1.6880258401907253
Scotts Bluff County,Nebraska,36509,47975,98217.0,2.04725377800938
Lincoln County,Nebraska,35569,55875,108750.0,1.9463087248322148
Cass County,Nebraska,25513,68284,96713.0,1.4163347197000762
Hall County,Nebraska,61233,53807,102867.0,1.9117772780493245
Buffalo County,Nebraska,48834,55053,58895.0,1.069787295878517
Platte County,Nebraska,32875,58679,76673.0,1.3066514425944546
Adams County,Nebraska,31564,51721,80620.0,1.5587478973724407
Lancaster County,Nebraska,306357,55747,81538.0,1.4626437297074282
Douglas County,Nebraska,549706,58640,93942.0,1.602012278308322
Sarpy County,Nebraska,175188,75752,83515.0,1.1024791424648854
Washington County,Nebraska,20414,66485,72575.0,1.091599608934346
Dodge County,Nebraska,36576,51748,111240.0,2.149648295586303
Cheshire County,New Hampshire,76109,60148,104088.0,1.7305313559885616
Merrimack County,New Hampshire,147958,69856,96410.0,1.3801248282180485
Grafton County,New Hampshire,89280,61036,93505.0,1.531964742119405
Rockingham County,New Hampshire,302479,85619,92857.0,1.0845373106436655
Belknap County,New Hampshire,60383,65834,92535.0,1.405580702980223
Sullivan County,New Hampshire,43073,59419,117507.0,1.9775997576532758
Hillsborough County,New Hampshire,406371,75777,95000.0,1.2536785568180318
Strafford County,New Hampshire,126552,67805,95419.0,1.4072561020573704
Coos County,New Hampshire,32119,45386,84783.0,1.868043008857357
Carroll County,New Hampshire,47524,58139,100547.0,1.7294243107036584
Douglas County,Nevada,47632,61176,182922.0,2.9900941545704196
Elko County,Nevada,52377,76178,98444.0,1.292289112342146
Nye County,Nevada,43296,44225,176113.0,3.9822046353872245
Washoe County,Nevada,445551,58595,125658.0,2.144517450294394
Clark County,Nevada,2112436,54882,109508.0,1.9953354469589302
Carson City,Nevada,54219,49341,113440.0,2.2991021665551976
Lyon County,Nevada,52303,50920,113327.0,2.225589159465829
Monmouth County,New Jersey,627551,91807,132419.0,1.4423627827943404
Mercer County,New Jersey,373362,77027,142979.0,1.8562192477962274
Sussex County,New Jersey,143570,89238,111617.0,1.250778816199377
Cumberland County,New Jersey,154952,50000,99464.0,1.98928
Somerset County,New Jersey,333316,106046,140714.0,1.3269147351149502
Essex County,New Jersey,800401,57365,91142.0,1.5888085069293123
Ocean County,New Jersey,589699,65771,130743.0,1.98785178878229
Gloucester County,New Jersey,291372,81489,91700.0,1.1253052559241123
