County,State,Population,HouseholdIncome,TotalDebt,Multiple
Haywood County,North Carolina,59854,45538,145600.0,3.1973297026659053
Caldwell County,North Carolina,81805,40735,136320.0,3.3465079170246717
Catawba County,North Carolina,156182,48649,161527.0,3.32025324261547
Cleveland County,North Carolina,97038,40002,187411.0,4.685040747962602
Craven County,North Carolina,103374,49391,115969.0,2.347978376627321
Edgecombe County,North Carolina,54032,32929,67429.0,2.0477087066111936
Granville County,North Carolina,58503,52089,102507.0,1.9679202902724184
Harnett County,North Carolina,128753,50323,88686.0,1.7623353138723843
Hoke County,North Carolina,52571,45713,65495.0,1.432743420908713
Henderson County,North Carolina,112156,50454,131970.0,2.6156498989178263
Iredell County,North Carolina,169798,55957,136808.0,2.444877316510892
Mecklenburg County,North Carolina,1034290,61695,108447.0,1.7577923656698273
Pitt County,North Carolina,176484,43526,91641.0,2.1054312365023207
Rowan County,North Carolina,138940,46978,109536.0,2.3316445995998127
Vance County,North Carolina,44420,35246,82613.0,2.3438971798218238
Union County,North Carolina,222095,70858,111020.0,1.5667955629568997
Wilkes County,North Carolina,68525,37173,159386.0,4.287681919672881
Forsyth County,North Carolina,368362,48369,119231.0,2.465029254274432
Nash County,North Carolina,94125,46187,128140.0,2.7743737415290015
Alexander County,North Carolina,37159,44523,135060.0,3.033488309413112
Bladen County,North Carolina,34130,32396,109680.0,3.3856031608840595
Dare County,North Carolina,35412,55640,164625.0,2.958752695902229
Carteret County,North Carolina,68699,51584,123750.0,2.3989996898263026
Wilson County,North Carolina,81379,42095,110000.0,2.6131369521320824
Martin County,North Carolina,23227,35969,119007.0,3.308599071422614
Randolph County,North Carolina,142827,43598,142278.0,3.2634065782834076
Rockingham County,North Carolina,91566,41700,118930.0,2.8520383693045566
Stokes County,North Carolina,46124,44490,129630.0,2.913688469318948
Cumberland County,North Carolina,332766,44737,73536.0,1.6437400809173615
Gaston County,North Carolina,214049,46626,135714.0,2.9106936044267147
Guilford County,North Carolina,517197,49253,94833.0,1.9254258623840173
Jackson County,North Carolina,41725,45078,142042.0,3.151027108567372
Moore County,North Carolina,94191,54468,132773.0,2.4376331056767278
Pasquotank County,North Carolina,39546,47264,84400.0,1.7857142857142858
Robeson County,North Carolina,134187,32407,100513.0,3.101582991329034
Stanly County,North Carolina,60875,46017,157009.0,3.411978181976226
Wake County,North Carolina,1023811,73577,100825.0,1.3703331204044742
Chatham County,North Carolina,68364,59684,149500.0,2.5048589236646337
McDowell County,North Carolina,45069,38776,158056.0,4.076129564679183
Franklin County,North Carolina,63866,48344,97653.0,2.0199611120304484
Johnston County,North Carolina,186308,54610,96433.0,1.7658487456509797
Person County,North Carolina,39240,44921,164664.0,3.6656352262861467
Brunswick County,North Carolina,122586,51164,142418.0,2.783558752247674
Beaufort County,North Carolina,47316,41101,120364.0,2.928493224009148
Columbus County,North Carolina,56589,36261,148027.0,4.082264692093434
Lenoir County,North Carolina,57934,37515,173362.0,4.621138211382114
Lincoln County,North Carolina,80504,50782,108682.0,2.1401677759836164
Onslow County,North Carolina,192685,48162,96207.0,1.997570698891242
Orange County,North Carolina,141812,65522,139200.0,2.1244772748084615
Richmond County,North Carolina,45447,33607,148230.0,4.4106882494718365
Rutherford County,North Carolina,66523,38573,159756.0,4.1416534881912215
Sampson County,North Carolina,63664,37765,124436.0,3.2950086058519794
Surry County,North Carolina,72315,39071,165550.0,4.237157994420414
Buncombe County,North Carolina,252268,48464,123300.0,2.5441564872895346
Burke County,North Carolina,88898,40854,145245.0,3.5552210309883976
Cabarrus County,North Carolina,196716,60716,102300.0,1.6848936030041504
Davie County,North Carolina,41766,53493,99308.0,1.8564672013160601
Davidson County,North Carolina,164118,45806,130725.0,2.853883770685063
Duplin County,North Carolina,59350,36679,115175.0,3.1400801548570025
Durham County,North Carolina,300865,56393,108718.0,1.927863387299842
Hertford County,North Carolina,24262,35806,67511.0,1.8854661229961458
Lee County,North Carolina,59805,49272,152680.0,3.098717324240948
New Hanover County,North Carolina,219866,51457,105088.0,2.0422488679868627
Pender County,North Carolina,57630,49357,100631.0,2.0388394756569483
Wayne County,North Carolina,124496,41766,105429.0,2.5242781209596323
Williams County,North Dakota,32916,89874,61215.0,0.6811202349956605
Ward County,North Dakota,69628,64159,75817.0,1.1817048270702473
Morton County,North Dakota,30059,65385,76711.0,1.173220157528485
Cass County,North Dakota,170620,58026,74168.0,1.2781856409195878
Grand Forks County,North Dakota,70130,51410,68988.0,1.3419179148025675
Burleigh County,North Dakota,92372,67308,79243.0,1.1773191893979913
Stutsman County,North Dakota,21058,56088,119200.0,2.1252317786335757
Stark County,North Dakota,30316,77328,100056.0,1.2939168218497827
Gallia County,Ohio,30203,42002,129418.0,3.0812342269415742
Huron County,Ohio,58497,49710,126119.0,2.537095151880909
Mahoning County,Ohio,231857,43251,99921.0,2.31025872234168
Athens County,Ohio,65563,37191,92300.0,2.481783227124842
Adams County,Ohio,27926,36320,69736.0,1.9200440528634362
Scioto County,Ohio,76871,38978,69870.0,1.7925496433885781
Medina County,Ohio,176362,71595,98089.0,1.3700537747049375
Meigs County,Ohio,23234,42105,61111.0,1.4513953212207575
Union County,Ohio,54688,78848,113047.0,1.4337332589285714
Champaign County,Ohio,39005,54495,82022.0,1.5051289109092578
Pike County,Ohio,28291,43562,96514.0,2.2155548413755106
Greene County,Ohio,164825,65032,96689.0,1.486791118218723
Hamilton County,Ohio,808703,52389,92814.0,1.7716314493500545
Franklin County,Ohio,1253507,56319,86548.0,1.53674603597365
Lawrence County,Ohio,61057,45466,77450.0,1.703470725377205
Marion County,Ohio,65483,44708,86946.0,1.944752616981301
Tuscarawas County,Ohio,92531,49460,121793.0,2.4624545086938943
Wayne County,Ohio,115915,54037,104188.0,1.9280863112311935
Wyandot County,Ohio,22190,49767,88115.0,1.7705507665722267
Brown County,Ohio,43799,49188,102500.0,2.0838415873790357
Butler County,Ohio,375702,62188,85137.0,1.3690261786839906
Erie County,Ohio,75369,51033,100594.0,1.97115591871926
Knox County,Ohio,60945,51211,101406.0,1.9801605123899162
Licking County,Ohio,170678,59747,88653.0,1.4838067183289538
Richland County,Ohio,121533,44138,112693.0,2.5531967918800125
Carroll County,Ohio,27825,51748,130627.0,2.524290793847105
Hancock County,Ohio,75508,52831,83900.0,1.588082754443414
Clermont County,Ohio,202166,64183,98816.0,1.5395977127899911
Fairfield County,Ohio,151526,63424,80200.0,1.264505549949546
Defiance County,Ohio,38311,55295,123294.0,2.2297495252735327
Highland County,Ohio,43031,42333,88307.0,2.086008551248435
Henry County,Ohio,27463,58070,91084.0,1.5685207508179784
Jefferson County,Ohio,67349,43161,101773.0,2.357985218136744
Portage County,Ohio,162080,53816,96861.0,1.7998550616916902
Putnam County,Ohio,34037,61161,116171.0,1.8994293749284674
Belmont County,Ohio,68889,46484,90844.0,1.9543068582738146
Clinton County,Ohio,41869,49997,133333.0,2.666820009200552
Fayette County,Ohio,28659,44289,76718.0,1.7322134164239427
Perry County,Ohio,35983,46477,69589.0,1.4972782236374982
Pickaway County,Ohio,57075,60314,97500.0,1.6165401067745466
Logan County,Ohio,45323,53051,117364.0,2.2122862905506024
Madison County,Ohio,43732,62897,126388.0,2.0094440116380747
Summit County,Ohio,541318,53291,91252.0,1.712334165243662
Muskingum County,Ohio,85933,43325,103117.0,2.3800807847663012
Sandusky County,Ohio,59559,50370,97506.0,1.9357951161405598
Shelby County,Ohio,48902,57673,84547.0,1.4659719452776863
Van Wert County,Ohio,28262,50974,67171.0,1.3177502256052105
Washington County,Ohio,60871,46021,123413.0,2.681667065035527
Williams County,Ohio,37061,47593,110447.0,2.3206563990502804
Auglaize County,Ohio,45778,59516,96285.0,1.6178002553935076
Columbiana County,Ohio,104584,45498,101035.0,2.220647061409293
Darke County,Ohio,51919,50064,136279.0,2.7220957174816234
Ottawa County,Ohio,40769,56193,117969.0,2.0993540120655596
Fulton County,Ohio,42296,57774,112413.0,1.9457368366393186
Hardin County,Ohio,31576,46404,152186.0,3.2795879665546073
Jackson County,Ohio,32624,43397,88811.0,2.0464778671336727
Lucas County,Ohio,433404,44820,77787.0,1.7355421686746988
Morrow County,Ohio,34935,52767,91957.0,1.7426990353819622
Preble County,Ohio,41328,52661,101840.0,1.9338789616604317
Seneca County,Ohio,55549,49153,93250.0,1.8971375094093952
Stark County,Ohio,374273,50117,96485.0,1.9251950435979808
Allen County,Ohio,104157,47905,87325.0,1.8228786139233901
Coshocton County,Ohio,36602,43251,96793.0,2.2379366951053155
Crawford County,Ohio,42231,41726,111783.0,2.678977136557542
Delaware County,Ohio,193024,100229,107250.0,1.0700495864470363
Geauga County,Ohio,93895,77104,140231.0,1.8187253579580827
Guernsey County,Ohio,39414,42744,89936.0,2.1040613887329216
Hocking County,Ohio,28547,48073,135227.0,2.8129511368127638
Lake County,Ohio,229701,61137,103100.0,1.686376498683285
Mercer County,Ohio,40723,57052,118077.0,2.069638224777396
Ross County,Ohio,77125,45792,100628.0,2.197501747030049
Clark County,Ohio,135520,46275,84169.0,1.818887088060508
Cuyahoga County,Ohio,1257401,46720,94880.0,2.030821917808219
Lorain County,Ohio,305405,54987,92847.0,1.6885263789623002
Miami County,Ohio,104081,54568,105817.0,1.9391768069198065
Montgomery County,Ohio,531987,47045,90279.0,1.9189924540333723
Trumbull County,Ohio,203341,45380,86339.0,1.9025782282944028
Warren County,Ohio,223868,79397,119111.0,1.50019522148192
Wood County,Ohio,129504,58033,88100.0,1.5181017696827668
Ashland County,Ohio,53299,50893,124287.0,2.4421236712318
Ashtabula County,Ohio,98622,43017,88919.0,2.0670665085896274
Stephens County,Oklahoma,44293,44805,107580.0,2.401071309005691
Carter County,Oklahoma,48407,47754,129438.0,2.7105163965322276
McClain County,Oklahoma,37919,62081,135400.0,2.1810215685958667
Ottawa County,Oklahoma,31725,38472,71000.0,1.8454980245373258
Rogers County,Oklahoma,90098,61320,86376.0,1.4086105675146772
Sequoyah County,Oklahoma,41364,37455,119344.0,3.186330262982245
Wagoner County,Oklahoma,76830,59210,73684.0,1.2444519506840062
Cleveland County,Oklahoma,274024,60632,95728.0,1.5788362580815412
Muskogee County,Oklahoma,69471,41329,97600.0,2.3615379031672674
Bryan County,Oklahoma,45068,41197,123067.0,2.987280627230138
Kay County,Oklahoma,45173,44067,98940.0,2.245217509701137
Logan County,Oklahoma,45326,59133,98367.0,1.6634873928263407
Tulsa County,Oklahoma,637123,52017,91500.0,1.759040313743584
Washington County,Oklahoma,51867,50388,108786.0,2.1589664205763275
Canadian County,Oklahoma,132922,69220,90276.0,1.3041895405952038
Okmulgee County,Oklahoma,39121,39567,61356.0,1.5506861778755023
Osage County,Oklahoma,47350,47683,89500.0,1.8769792169116877
Garfield County,Oklahoma,62421,50724,124800.0,2.4603737875561866
Pittsburg County,Oklahoma,44673,44941,106593.0,2.371843083153468
Pontotoc County,Oklahoma,38289,46689,105792.0,2.2658870397738227
Cherokee County,Oklahoma,48404,39187,89163.0,2.2753208972363286
Delaware County,Oklahoma,41878,38234,128555.0,3.362321493958257
Grady County,Oklahoma,54351,55527,85257.0,1.5354152034145552
Payne County,Oklahoma,80634,39149,87653.0,2.238958849523615
Pottawatomie County,Oklahoma,71614,46159,100446.0,2.1760870036179294
Creek County,Oklahoma,70899,47147,91671.0,1.9443654951534561
Le Flore County,Oklahoma,49860,39253,111744.0,2.846763304715563
Mayes County,Oklahoma,40929,45302,114442.0,2.5262019336894617
Oklahoma County,Oklahoma,774203,50762,97200.0,1.9148181710728498
Custer County,Oklahoma,29169,48520,74439.0,1.5341920857378402
Jackson County,Oklahoma,25574,45189,137469.0,3.042089889132311
Comanche County,Oklahoma,123066,49569,74144.0,1.4957735681575177
Marion County,Oregon,330453,53828,98669.0,1.8330422828267816
Jackson County,Oregon,212070,48688,114286.0,2.34731350640815
Douglas County,Oregon,107576,44023,98908.0,2.246734661426981
Polk County,Oregon,79666,56032,86930.0,1.551434894346088
Clackamas County,Oregon,399962,72408,109375.0,1.51053750966744
Deschutes County,Oregon,175321,59152,105924.0,1.7907086827157155
Linn County,Oregon,121074,49515,102833.0,2.0768050085832575
Tillamook County,Oregon,25840,45061,87383.0,1.9392157297885089
Yamhill County,Oregon,102366,58392,112847.0,1.932576380326072
Josephine County,Oregon,84514,40705,165018.0,4.0539982803095445
Klamath County,Oregon,66018,42531,86444.0,2.0324939455926265
Umatilla County,Oregon,76736,50071,120554.0,2.4076611212078847
Lincoln County,Oregon,47307,43291,151591.0,3.501674712988843
Benton County,Oregon,88249,54682,88467.0,1.6178449946966096
Columbia County,Oregon,50207,57449,119500.0,2.080105832999704
Crook County,Oregon,21717,41777,123519.0,2.956626852095651
Wasco County,Oregon,25687,48510,91667.0,1.8896516182230467
Lane County,Oregon,363471,47710,94022.0,1.970697966883253
Malheur County,Oregon,30421,37112,101693.0,2.740164906229791
Washington County,Oregon,572071,74033,96863.0,1.3083759944889441
Clatsop County,Oregon,38021,49828,135325.0,2.7158424981937865
Coos County,Oregon,62921,40848,149430.0,3.658196239717979
Multnomah County,Oregon,788459,60369,100910.0,1.671553280657291
Union County,Oregon,25810,46228,136738.0,2.9579043004239853
Newport County,Rhode Island,83204,75463,113135.0,1.4992115341293084
Kent County,Rhode Island,164012,69047,103365.0,1.4970237664199748
Providence County,Rhode Island,633704,52530,84272.0,1.6042642299638301
Bristol County,Rhode Island,49028,74630,121950.0,1.6340613694224844
Washington County,Rhode Island,126190,77862,103294.0,1.3266291644191004
Delaware County,Pennsylvania,563384,69839,81514.0,1.16717020575896
Franklin County,Pennsylvania,153003,58267,109943.0,1.8868827981533287
Union County,Pennsylvania,45056,53768,93593.0,1.7406821901502754
Wayne County,Pennsylvania,51656,52161,111969.0,2.146603784436648
Bedford County,Pennsylvania,48891,48703,112133.0,2.302383836724637
Dauphin County,Pennsylvania,273329,57071,97405.0,1.7067337176499449
Somerset County,Pennsylvania,75619,46132,110538.0,2.3961241654383074
Monroe County,Pennsylvania,167306,61430,98768.0,1.6078137717727494
Philadelphia County,Pennsylvania,1569657,40649,71784.0,1.7659475017835617
York County,Pennsylvania,442216,61707,92105.0,1.4926183415171699
Westmoreland County,Pennsylvania,356835,56702,101421.0,1.7886670664174102
Blair County,Pennsylvania,124736,45664,89345.0,1.956574106517169
Bradford County,Pennsylvania,61546,50900,127529.0,2.5054813359528487
Cambria County,Pennsylvania,135871,44943,89311.0,1.9872060165098013
Chester County,Pennsylvania,514652,92417,112428.0,1.216529426404233
Berks County,Pennsylvania,415500,59580,94347.0,1.583534743202417
Huntingdon County,Pennsylvania,45686,46765,139286.0,2.978424035068962
Indiana County,Pennsylvania,86551,46306,109359.0,2.3616593961905585
Lawrence County,Pennsylvania,88231,47188,88600.0,1.8775959989827922
Mifflin County,Pennsylvania,46452,46286,120460.0,2.602514799291362
Washington County,Pennsylvania,207661,59309,96110.0,1.6204960461312785
Cumberland County,Pennsylvania,245801,65544,105350.0,1.6073172220187966
Allegheny County,Pennsylvania,1229605,56333,87365.0,1.5508671648944667
Pike County,Pennsylvania,55687,63417,74970.0,1.182175126543356
Snyder County,Pennsylvania,40570,54182,92106.0,1.699937248532723
Susquehanna County,Pennsylvania,41716,52014,92339.0,1.7752720421425001
Crawford County,Pennsylvania,86847,47179,116617.0,2.4717988935755315
Erie County,Pennsylvania,277794,48192,83100.0,1.7243525896414342
Schuylkill County,Pennsylvania,144287,47642,115465.0,2.423596826329709
Wyoming County,Pennsylvania,27760,55965,94106.0,1.681515232734745
Adams County,Pennsylvania,101589,62661,94474.0,1.507700164376566
Armstrong County,Pennsylvania,66737,47527,92489.0,1.9460306772992193
Clinton County,Pennsylvania,39321,47990,82576.0,1.7206918107939153
Carbon County,Pennsylvania,63987,51236,93388.0,1.8227027871028183
Centre County,Pennsylvania,160646,56466,105826.0,1.8741543583749514
Northumberland County,Pennsylvania,93038,44534,87094.0,1.9556743162527508
Northampton County,Pennsylvania,300941,65390,110724.0,1.6932864352347454
Venango County,Pennsylvania,52880,46487,95265.0,2.0492825951341236
Beaver County,Pennsylvania,168161,53981,84825.0,1.5713862284878013
Bucks County,Pennsylvania,626486,82031,105263.0,1.2832100059733516
Lackawanna County,Pennsylvania,211960,48380,94245.0,1.9480157089706491
Lehigh County,Pennsylvania,360774,60116,94217.0,1.5672533102668176
McKean County,Pennsylvania,42070,45866,73826.0,1.6096018837483104
Fayette County,Pennsylvania,133160,41632,91653.0,2.2015036510376635
Clarion County,Pennsylvania,38747,44373,95000.0,2.140941563563428
Montgomery County,Pennsylvania,818677,84791,102280.0,1.2062600983594958
Clearfield County,Pennsylvania,80539,45188,112676.0,2.4934938479242277
Greene County,Pennsylvania,37338,50972,85819.0,1.6836498469748098
Lebanon County,Pennsylvania,137616,57698,93388.0,1.6185656348573607
Lycoming County,Pennsylvania,115398,50634,107911.0,2.1311964292767707
Luzerne County,Pennsylvania,318222,49290,91233.0,1.850943396226415
Montour County,Pennsylvania,18302,56250,157726.0,2.8040177777777777
Warren County,Pennsylvania,40345,45781,139893.0,3.0556999628666914
Columbia County,Pennsylvania,66615,48395,115894.0,2.39475152391776
Butler County,Pennsylvania,185984,66037,104589.0,1.5837939337038327
Elk County,Pennsylvania,30781,49876,117353.0,2.352895180046515
Jefferson County,Pennsylvania,44258,45342,72220.0,1.5927837325217238
Lancaster County,Pennsylvania,536494,61492,94617.0,1.538687959409354
Mercer County,Pennsylvania,113623,47340,84910.0,1.7936206168145332
Perry County,Pennsylvania,45878,60847,140546.0,2.309826285601591
Tioga County,Pennsylvania,41550,50017,92700.0,1.8533698542495551
Aiken County,South Carolina,165707,47713,117429.0,2.46115314484522
Newberry County,South Carolina,37914,39600,121154.0,3.0594444444444444
Edgefield County,South Carolina,26620,47500,115107.0,2.4233052631578946
Chester County,South Carolina,32424,37421,105231.0,2.8120841238876566
Clarendon County,South Carolina,34156,35838,94143.0,2.6269044031474973
Colleton County,South Carolina,37581,34996,92806.0,2.6519030746371013
Marion County,South Carolina,31765,31129,99413.0,3.193581547752899
Sumter County,South Carolina,107379,41946,78839.0,1.8795355933819673
Lexington County,South Carolina,281870,57482,102778.0,1.7880032010020528
Oconee County,South Carolina,75926,43978,142200.0,3.2334348992678157
Barnwell County,South Carolina,21788,34035,70594.0,2.0741589540179226
Charleston County,South Carolina,387847,57882,106380.0,1.837877060225977
Darlington County,South Carolina,67572,36217,86144.0,2.3785515089598808
Georgetown County,South Carolina,61065,46967,126667.0,2.6969361466561628
Marlboro County,South Carolina,27505,33921,112493.0,3.316323221603137
York County,South Carolina,251664,59394,125406.0,2.1114253965046976
Anderson County,South Carolina,194174,45551,115177.0,2.528528462602358
Cherokee County,South Carolina,56549,35286,141562.0,4.011846057926657
Chesterfield County,South Carolina,46127,38469,120669.0,3.1367854636200576
Greenwood County,South Carolina,69981,39196,96288.0,2.456577201755281
Jasper County,South Carolina,27465,39740,100236.0,2.5222949169602416
Horry County,South Carolina,310186,46475,128636.0,2.7678536847767616
Kershaw County,South Carolina,63734,46565,101822.0,2.1866638032857297
Spartanburg County,South Carolina,297732,47575,109379.0,2.2990856542301628
Abbeville County,South Carolina,24788,35254,84500.0,2.396891132921087
Beaufort County,South Carolina,179316,60603,155346.0,2.563338448591654
Dillon County,South Carolina,31073,30866,130657.0,4.233039590487915
Richland County,South Carolina,404869,52082,87744.0,1.6847279290349833
Fairfield County,South Carolina,22868,35551,95040.0,2.673342522010633
Hampton County,South Carolina,20066,32147,90600.0,2.8183034186704825
Greenville County,South Carolina,490332,53739,108676.0,2.0222929343679636
Lancaster County,South Carolina,86544,50557,136907.0,2.7079731787882984
Dorchester County,South Carolina,151716,58685,100352.0,1.7100110760841782
Florence County,South Carolina,138537,43310,93695.0,2.1633571923343338
Laurens County,South Carolina,66508,40580,114869.0,2.830680137999014
Pickens County,South Carolina,121449,45332,142238.0,3.137695226330186
Union County,South Carolina,27772,37493,75477.0,2.0130957778785374
Williamsburg County,South Carolina,32256,30976,78861.0,2.5458742252066116
Minnehaha County,South Dakota,183660,57322,84909.0,1.4812637381808031
Lincoln County,South Dakota,53147,81849,65065.0,0.7949394616916517
Lawrence County,South Dakota,25018,49275,73367.0,1.488929477422628
Yankton County,South Dakota,22660,50029,76916.0,1.5374282915908772
Codington County,South Dakota,27963,52025,99033.0,1.9035655934646805
Beadle County,South Dakota,18163,48995,107812.0,2.2004694356566996
Davison County,South Dakota,19753,48665,75432.0,1.5500256858111578
Meade County,South Dakota,27066,54286,44122.0,0.8127694064768081
Brown County,South Dakota,38637,53807,88295.0,1.6409574962365492
Pennington County,South Dakota,108126,52245,86963.0,1.6645229208536703
Union County,South Dakota,14929,65434,64273.0,0.9822569306476755
Brookings County,South Dakota,33697,53473,86474.0,1.617152581676734
Carroll County,Tennessee,28137,38201,118592.0,3.104421350226434
Davidson County,Tennessee,678322,53419,104770.0,1.9612871824631686
Roane County,Tennessee,52926,45407,126745.0,2.7913097099566144
Bradley County,Tennessee,103666,46381,111114.0,2.3956792652163603
Hamblen County,Tennessee,63465,42042,145310.0,3.456305599162742
Maury County,Tennessee,87606,52080,88193.0,1.6934139784946236
Montgomery County,Tennessee,192120,53737,67767.0,1.2610864022926476
Dickson County,Tennessee,51341,47398,95238.0,2.009325287986835
Monroe County,Tennessee,45698,36931,127390.0,3.449405648371287
Henry County,Tennessee,32263,40415,131417.0,3.2516887294321415
Knox County,Tennessee,452286,52458,114269.0,2.178295016965954
McMinn County,Tennessee,52569,39990,137844.0,3.4469617404351087
Marshall County,Tennessee,31753,46837,120825.0,2.5796912697226553
Obion County,Tennessee,30659,38063,114691.0,3.0131886609042904
Tipton County,Tennessee,61434,57212,76426.0,1.3358386352513458
Anderson County,Tennessee,75538,47206,116667.0,2.4714443079269586
Dyer County,Tennessee,37751,44386,103180.0,2.324606858018294
Gibson County,Tennessee,49222,41315,77007.0,1.8638993101779016
Hamilton County,Tennessee,354589,50273,101156.0,2.0121337497264933
Hardeman County,Tennessee,25784,36686,99993.0,2.725644660088317
Loudon County,Tennessee,51024,55431,167513.0,3.022009344951381
Rutherford County,Tennessee,298456,62149,88455.0,1.4232731017393683
Wilson County,Tennessee,128874,66123,102613.0,1.5518503395187757
Sullivan County,Tennessee,156519,42251,166764.0,3.946983503349033
Warren County,Tennessee,40210,36765,130922.0,3.561049911600707
Washington County,Tennessee,126437,44180,133333.0,3.017949298325034
Weakley County,Tennessee,33776,36550,136031.0,3.7217783857729136
Campbell County,Tennessee,39824,35377,132725.0,3.751731350877689
Coffee County,Tennessee,54074,46614,115827.0,2.4848114300424764
Fayette County,Tennessee,39336,57919,172917.0,2.98549698717174
Hawkins County,Tennessee,56402,38728,150100.0,3.875748812228878
Lincoln County,Tennessee,33543,42153,163520.0,3.8792019547837637
Robertson County,Tennessee,68575,57424,133308.0,2.321468375592087
Franklin County,Tennessee,41397,46882,196433.0,4.18994496821808
Blount County,Tennessee,127135,51172,121869.0,2.3815563198624248
Cheatham County,Tennessee,39713,56150,96027.0,1.710186999109528
Carter County,Tennessee,56500,34625,116191.0,3.3556967509025273
Giles County,Tennessee,29024,43925,62131.0,1.4144792259533296
Lauderdale County,Tennessee,26497,35551,58433.0,1.6436387162105144
Lawrence County,Tennessee,42591,41522,154790.0,3.7279032801888157
Madison County,Tennessee,97887,44496,106906.0,2.4025979863358504
Marion County,Tennessee,28355,45366,153045.0,3.3735616981880705
Sumner County,Tennessee,175730,61584,92181.0,1.4968335931410757
Williamson County,Tennessee,212161,103543,121667.0,1.1750383898476962
Bedford County,Tennessee,46854,47117,179433.0,3.8082433092089905
Greene County,Tennessee,68520,38266,121420.0,3.173051795327445
Cumberland County,Tennessee,58178,40994,155400.0,3.7907986534614824
Shelby County,Tennessee,937847,48415,96990.0,2.003304760921202
Claiborne County,Tennessee,31566,35428,116342.0,3.2838997403183923
Jefferson County,Tennessee,52887,45641,120000.0,2.629214960233124
Putnam County,Tennessee,75565,37802,113171.0,2.993783397703825
Sevier County,Tennessee,95523,44473,117840.0,2.649697569311717
Hardin County,Texas,55993,56131,91615.0,1.632164044823716
Howard County,Texas,36491,50855,89533.0,1.7605545177465343
Hunt County,Texas,90322,49319,131487.0,2.6660516231067133
Guadalupe County,Texas,150889,66187,96563.0,1.458942088325502
Hill County,Texas,35098,45970,79386.0,1.726908853600174
Limestone County,Texas,23480,40356,73120.0,1.8118743185647734
Nacogdoches County,Texas,65411,41482,141962.0,3.422255436092763
Parker County,Texas,125963,70608,110367.0,1.563094833446635
Val Verde County,Texas,48976,44609,154400.0,3.461184962675693
Ector County,Texas,155744,59528,158956.0,2.6702728127939794
Travis County,Texas,1176584,68350,106259.0,1.5546305779078273
Collin County,Texas,914075,90124,118281.0,1.312425103191159
Angelina County,Texas,87700,46472,131278.0,2.8248838009984505
Hays County,Texas,194843,62815,76655.0,1.220329539122821
Matagorda County,Texas,36744,44896,140940.0,3.1392551674982183
Rockwall County,Texas,90414,93269,108606.0,1.1644383450020908
Rusk County,Texas,53026,49270,83517.0,1.6950882890196874
Taylor County,Texas,135371,49161,101706.0,2.068835052175505
Walker County,Texas,70818,41456,79181.0,1.9100009648784253
Wood County,Texas,43315,48038,114025.0,2.3736417003205794
Comal County,Texas,129100,73655,107406.0,1.4582309415518295
Coryell County,Texas,75818,50865,81444.0,1.6011795930404011
Navarro County,Texas,48239,45103,101375.0,2.247633195131144
Potter County,Texas,121230,41852,98838.0,2.3616075695307273
Starr County,Texas,63420,27133,102930.0,3.7935355471197436
Bastrop County,Texas,80306,59185,126508.0,2.1375010560108136
Brown County,Texas,37787,43062,70947.0,1.6475546885885468
Tarrant County,Texas,1983675,62532,101181.0,1.6180675494146997
Anderson County,Texas,57747,42313,111633.0,2.638267199205918
Kerr County,Texas,50761,48698,136209.0,2.7970142510986076
Austin County,Texas,29292,62614,87858.0,1.403168620436324
Nueces County,Texas,358484,53317,85353.0,1.6008590130727536
San Patricio County,Texas,66867,53332,108269.0,2.030094502362559
Randall County,Texas,130552,65564,101753.0,1.5519644927094136
Liberty County,Texas,79884,48344,102810.0,2.1266341221247727
Wise County,Texas,63247,59081,79579.0,1.3469474111812596
Erath County,Texas,41016,47013,111529.0,2.3723012783698127
Brazoria County,Texas,345995,76426,128013.0,1.6749928034961925
Atascosa County,Texas,48139,55194,79946.0,1.4484545421603798
Medina County,Texas,48548,59305,93007.0,1.5682826068628277
Henderson County,Texas,79687,44888,131618.0,2.9321422206380325
Harrison County,Texas,66606,48644,93038.0,1.912630540251624
Lamar County,Texas,49401,42198,100610.0,2.3842362197260534
Williamson County,Texas,508313,79123,94883.0,1.1991835496631826
Doña Ana County,New Mexico,213849,39114,80794.0,2.065603108861277
Polk County,Texas,46974,43267,159557.0,3.68772967850787
Van Zandt County,Texas,53607,50061,119660.0,2.390283853698488
Caldwell County,Texas,40544,51346,107782.0,2.099131383165193
Hale County,Texas,34527,46012,104050.0,2.2613666000173867
Tom Green County,Texas,116906,49662,88200.0,1.7760057992026097
Upshur County,Texas,40506,48796,99642.0,2.042011640298385
Victoria County,Texas,91518,55740,130360.0,2.3387154646573376
Waller County,Texas,48443,53506,91450.0,1.709154113557358
Wharton County,Texas,41430,50145,73077.0,1.4573137900089739
Wichita County,Texas,131778,45776,114023.0,2.490890422929046
Wilson County,Texas,47205,71942,109279.0,1.51898751772261
Maverick County,Texas,57471,37734,115511.0,3.0611914983834208
Midland County,Texas,159883,75815,115673.0,1.5257270988590648
Grayson County,Texas,126146,52683,134217.0,2.5476339616194976
Fannin County,Texas,33787,47875,129091.0,2.6964177545691905
Brazos County,Texas,214231,43907,85378.0,1.9445190971826816
Cass County,Texas,30118,41432,127330.0,3.073228422475381
Gregg County,Texas,123402,47970,129167.0,2.6926620804669583
Lubbock County,Texas,298042,49078,97511.0,1.986857655161172
Kaufman County,Texas,114852,63926,110000.0,1.720739605168476
