Name,County,Population,MedianAge,Household Income,PerCapitaIncome,UnemploymentCount,PovertyCount,PovertyRate,State,abbr,UnemployementRate,MedicialPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicialAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
"Mariposa County, California",Mariposa County,17658,51.1,51385,28241,777,2629,14.88843584,California,CA,0.044002717999999996,,,,,,,,,
"Yuba County, California",Yuba County,74644,32.4,51776,22814,3057,13598,18.21713735,California,CA,0.040954397000000003,43%,11%,32%,14%,"$79,383.4 ","$20,307.4 ","$59,076.0 ","$25,845.8 ","$110,727 "
"Contra Costa County, California",Contra Costa County,1123678,39.2,88456,42898,39750,108630,9.667360222000001,California,CA,0.035374903,25%,11%,27%,37%,"$46,153.1 ","$20,307.4 ","$49,845.4 ","$68,306.6 ","$153,664 "
"Inyo County, California",Inyo County,18195,45.6,51500,30323,450,1806,9.925803792,California,CA,0.024732069,,,,,,,,,
"Lassen County, California",Lassen County,31470,36.2,54083,20974,729,3155,10.02542104,California,CA,0.023164919,,,,,,,,,
"Stanislaus County, California",Stanislaus County,535684,33.9,54260,24007,29240,91210,17.02682925,California,CA,0.054584419,35%,12%,29%,24%,"$64,614.4 ","$22,153.5 ","$53,537.6 ","$44,307.0 ","$105,175 "
"Santa Barbara County, California",Santa Barbara County,442996,33.7,68023,32872,14894,65493,14.7841064,California,CA,0.033621071,28%,10%,25%,37%,"$51,691.5 ","$18,461.3 ","$46,153.1 ","$68,306.6 ","$146,650 "
"Sonoma County, California",Sonoma County,500943,41.4,71769,37767,15700,52707,10.52155634,California,CA,0.031340891,23%,9%,27%,41%,"$42,460.9 ","$16,615.1 ","$49,845.4 ","$75,691.1 ","$180,033 "
"Tehama County, California",Tehama County,63247,41.1,42512,22631,2692,13009,20.56856452,California,CA,0.04256328400000001,39%,8%,29%,24%,"$71,998.9 ","$14,769.0 ","$53,537.6 ","$44,307.0 ","$159,425 "
"Imperial County, California",Imperial County,179957,32.2,44779,17303,11415,40376,22.43647093,California,CA,0.06343182,36%,9%,28%,27%,"$66,460.5 ","$16,615.1 ","$51,691.5 ","$49,845.4 ","$162,700 "
"Mono County, California",Mono County,14058,38.3,60595,30888,290,1378,9.80224783,California,CA,0.020628823,,,,,,,,,
"San Benito County, California",San Benito County,58671,35.4,80760,30012,2686,5670,9.664058905,California,CA,0.045780709,32%,9%,35%,24%,"$59,076.0 ","$16,615.1 ","$64,614.4 ","$44,307.0 ","$159,933 "
"Alameda County, California",Alameda County,1629615,37.3,85743,41363,53175,181194,11.11882254,California,CA,0.032630407,23%,12%,23%,42%,"$42,460.9 ","$22,153.5 ","$42,460.9 ","$77,537.3 ","$155,217 "
"Sacramento County, California",Sacramento County,1495400,35.9,60239,29693,64575,246203,16.464023,California,CA,0.043182425999999996,31%,14%,28%,27%,"$57,229.9 ","$25,845.8 ","$51,691.5 ","$49,845.4 ","$107,214 "
