County,State,MedicalPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicalAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
Jackson County,Oregon,0.25,0.14,0.29,0.32,46153.1,25845.8,53537.6,59076,114286
Yamhill County,Oregon,0.25,0.17,0.29,0.29,46153.1,31384.1,53537.6,53537.6,112847
Clackamas County,Oregon,0.22,0.16,0.3,0.32,40614.8,29538,55383.8,59076,109375
Deschutes County,Oregon,0.24,0.17,0.32,0.27,44307,31384.1,59076,49845.4,105924
Linn County,Oregon,0.33,0.15,0.3,0.22,60922.1,27691.9,55383.8,40614.8,102833
Malheur County,Oregon,0.41,0.15,0.25,0.19,75691.1,27691.9,46153.1,35076.4,101693
Multnomah County,Oregon,0.26,0.21,0.23,0.3,47999.3,38768.6,42460.9,55383.8,100910
Douglas County,Oregon,0.3,0.13,0.29,0.28,55383.8,23999.6,53537.6,51691.5,98908
Marion County,Oregon,0.31,0.16,0.3,0.23,57229.9,29538,55383.8,42460.9,98669
Washington County,Oregon,0.21,0.19,0.29,0.31,38768.6,35076.4,53537.6,57229.9,96863
Lane County,Oregon,0.28,0.18,0.25,0.29,51691.5,33230.3,46153.1,53537.6,94022
Wasco County,Oregon,0.3,0.12,0.24,0.34,55383.8,22153.5,44307,62768.3,91667
Benton County,Oregon,0.18,0.18,0.24,0.4,33230.3,33230.3,44307,73845,88467
Tillamook County,Oregon,0.2,0.12,0.27,0.41,36922.5,22153.5,49845.4,75691.1,87383
Polk County,Oregon,0.25,0.2,0.32,0.23,46153.1,36922.5,59076,42460.9,86930
Klamath County,Oregon,0.34,0.16,0.29,0.21,62768.3,29538,53537.6,38768.6,86444
Montour County,Pennsylvania,0.2,0.19,0.4,0.21,36922.5,35076.4,73845,38768.6,157726
Perry County,Pennsylvania,0.29,0.13,0.38,0.2,53537.6,23999.6,70152.8,36922.5,140546
Warren County,Pennsylvania,0.29,0.15,0.37,0.19,53537.6,27691.9,68306.6,35076.4,139893
Huntingdon County,Pennsylvania,0.27,0.14,0.37,0.22,49845.4,25845.8,68306.6,40614.8,139286
Bradford County,Pennsylvania,0.35,0.14,0.36,0.15,64614.4,25845.8,66460.5,27691.9,127529
Mifflin County,Pennsylvania,0.27,0.15,0.35,0.23,49845.4,27691.9,64614.4,42460.9,120460
Elk County,Pennsylvania,0.26,0.17,0.4,0.17,47999.3,31384.1,73845,31384.1,117353
Crawford County,Pennsylvania,0.32,0.18,0.34,0.16,59076,33230.3,62768.3,29538,116617
Columbia County,Pennsylvania,0.27,0.16,0.35,0.22,49845.4,29538,64614.4,40614.8,115894
Schuylkill County,Pennsylvania,0.36,0.17,0.32,0.15,66460.5,31384.1,59076,27691.9,115465
Clearfield County,Pennsylvania,0.26,0.17,0.39,0.18,47999.3,31384.1,71998.9,33230.3,112676
Chester County,Pennsylvania,0.18,0.18,0.36,0.28,33230.3,33230.3,66460.5,51691.5,112428
Bedford County,Pennsylvania,0.25,0.15,0.36,0.24,46153.1,27691.9,66460.5,44307,112133
Wayne County,Pennsylvania,0.28,0.16,0.32,0.24,51691.5,29538,59076,44307,111969
Northampton County,Pennsylvania,0.29,0.17,0.36,0.18,53537.6,31384.1,66460.5,33230.3,110724
Somerset County,Pennsylvania,0.28,0.16,0.38,0.18,51691.5,29538,70152.8,33230.3,110538
Franklin County,Pennsylvania,0.31,0.14,0.33,0.22,57229.9,25845.8,60922.1,40614.8,109943
Indiana County,Pennsylvania,0.25,0.17,0.34,0.24,46153.1,31384.1,62768.3,44307,109359
Lycoming County,Pennsylvania,0.36,0.18,0.32,0.14,66460.5,33230.3,59076,25845.8,107911
Centre County,Pennsylvania,0.2,0.19,0.31,0.3,36922.5,35076.4,57229.9,55383.8,105826
Cumberland County,Pennsylvania,0.24,0.18,0.36,0.22,44307,33230.3,66460.5,40614.8,105350
Bucks County,Pennsylvania,0.22,0.19,0.34,0.25,40614.8,35076.4,62768.3,46153.1,105263
Butler County,Pennsylvania,0.19,0.18,0.4,0.23,35076.4,33230.3,73845,42460.9,104589
Montgomery County,Pennsylvania,0.2,0.2,0.34,0.26,36922.5,36922.5,62768.3,47999.3,102280
Westmoreland County,Pennsylvania,0.23,0.19,0.39,0.19,42460.9,35076.4,71998.9,35076.4,101421
Monroe County,Pennsylvania,0.36,0.19,0.37,0.08,66460.5,35076.4,68306.6,14769,98768
Dauphin County,Pennsylvania,0.38,0.19,0.33,0.1,70152.8,35076.4,60922.1,18461.3,97405
Washington County,Pennsylvania,0.28,0.2,0.4,0.12,51691.5,36922.5,73845,22153.5,96110
Venango County,Pennsylvania,0.29,0.17,0.35,0.19,53537.6,31384.1,64614.4,35076.4,95265
Clarion County,Pennsylvania,0.22,0.15,0.4,0.23,40614.8,27691.9,73845,42460.9,95000
Lancaster County,Pennsylvania,0.24,0.18,0.3,0.28,44307,33230.3,55383.8,51691.5,94617
Adams County,Pennsylvania,0.27,0.19,0.37,0.17,49845.4,35076.4,68306.6,31384.1,94474
Berks County,Pennsylvania,0.34,0.19,0.33,0.14,62768.3,35076.4,60922.1,25845.8,94347
Lackawanna County,Pennsylvania,0.33,0.22,0.34,0.11,60922.1,40614.8,62768.3,20307.4,94245
Lehigh County,Pennsylvania,0.32,0.18,0.31,0.19,59076,33230.3,57229.9,35076.4,94217
Wyoming County,Pennsylvania,0.26,0.18,0.32,0.24,47999.3,33230.3,59076,44307,94106
Union County,Pennsylvania,0.22,0.15,0.32,0.31,40614.8,27691.9,59076,57229.9,93593
Carbon County,Pennsylvania,0.34,0.17,0.35,0.14,62768.3,31384.1,64614.4,25845.8,93388
Lebanon County,Pennsylvania,0.31,0.17,0.32,0.2,57229.9,31384.1,59076,36922.5,93388
Tioga County,Pennsylvania,0.38,0.16,0.34,0.12,70152.8,29538,62768.3,22153.5,92700
Armstrong County,Pennsylvania,0.28,0.18,0.41,0.13,51691.5,33230.3,75691.1,23999.6,92489
Susquehanna County,Pennsylvania,0.24,0.18,0.36,0.22,44307,33230.3,66460.5,40614.8,92339
Snyder County,Pennsylvania,0.24,0.16,0.34,0.26,44307,29538,62768.3,47999.3,92106
York County,Pennsylvania,0.31,0.19,0.36,0.14,57229.9,35076.4,66460.5,25845.8,92105
Fayette County,Pennsylvania,0.36,0.17,0.37,0.1,66460.5,31384.1,68306.6,18461.3,91653
Luzerne County,Pennsylvania,0.33,0.18,0.32,0.17,60922.1,33230.3,59076,31384.1,91233
Blair County,Pennsylvania,0.28,0.2,0.35,0.17,51691.5,36922.5,64614.4,31384.1,89345
Cambria County,Pennsylvania,0.29,0.18,0.35,0.18,53537.6,33230.3,64614.4,33230.3,89311
Lawrence County,Pennsylvania,0.32,0.19,0.35,0.14,59076,35076.4,64614.4,25845.8,88600
Allegheny County,Pennsylvania,0.26,0.23,0.35,0.16,47999.3,42460.9,64614.4,29538,87365
Northumberland County,Pennsylvania,0.34,0.18,0.35,0.13,62768.3,33230.3,64614.4,23999.6,87094
Greene County,Pennsylvania,0.38,0.16,0.38,0.08,70152.8,29538,70152.8,14769,85819
Mercer County,Pennsylvania,0.29,0.2,0.35,0.16,53537.6,36922.5,64614.4,29538,84910
Beaver County,Pennsylvania,0.33,0.2,0.39,0.08,60922.1,36922.5,71998.9,14769,84825
Erie County,Pennsylvania,0.34,0.24,0.36,0.06,62768.3,44307,66460.5,11076.8,83100
Clinton County,Pennsylvania,0.31,0.17,0.34,0.18,57229.9,31384.1,62768.3,33230.3,82576
Delaware County,Pennsylvania,0.3,0.22,0.32,0.16,55383.8,40614.8,59076,29538,81514
Pike County,Pennsylvania,0.33,0.2,0.36,0.11,60922.1,36922.5,66460.5,20307.4,74970
McKean County,Pennsylvania,0.34,0.19,0.42,0.05,62768.3,35076.4,77537.3,9230.6,73826
Jefferson County,Pennsylvania,0.22,0.2,0.38,0.2,40614.8,36922.5,70152.8,36922.5,72220
Philadelphia County,Pennsylvania,0.45,0.25,0.21,0.09,83075.6,46153.1,38768.6,16615.1,71784
Bristol County,Rhode Island,0.19,0.18,0.34,0.29,35076.4,33230.3,62768.3,53537.6,121950
Newport County,Rhode Island,0.18,0.17,0.32,0.33,33230.3,31384.1,59076,60922.1,113135
Kent County,Rhode Island,0.23,0.17,0.35,0.25,42460.9,31384.1,64614.4,46153.1,103365
Washington County,Rhode Island,0.18,0.17,0.35,0.3,33230.3,31384.1,64614.4,55383.8,103294
Providence County,Rhode Island,0.34,0.18,0.28,0.2,62768.3,33230.3,51691.5,36922.5,84272
Beaufort County,South Carolina,0.37,0.13,0.3,0.2,68306.6,23999.6,55383.8,36922.5,155346
Pickens County,South Carolina,0.4,0.13,0.25,0.22,73845,23999.6,46153.1,40614.8,142238
Oconee County,South Carolina,0.38,0.1,0.23,0.29,70152.8,18461.3,42460.9,53537.6,142200
Cherokee County,South Carolina,0.54,0.13,0.23,0.1,99690.8,23999.6,42460.9,18461.3,141562
Lancaster County,South Carolina,0.43,0.14,0.19,0.24,79383.4,25845.8,35076.4,44307,136907
Dillon County,South Carolina,0.57,0.14,0.23,0.06,105229.1,25845.8,42460.9,11076.8,130657
Horry County,South Carolina,0.37,0.14,0.31,0.18,68306.6,25845.8,57229.9,33230.3,128636
Georgetown County,South Carolina,0.45,0.15,0.26,0.14,83075.6,27691.9,47999.3,25845.8,126667
York County,South Carolina,0.38,0.16,0.3,0.16,70152.8,29538,55383.8,29538,125406
Newberry County,South Carolina,0.47,0.13,0.23,0.17,86767.9,23999.6,42460.9,31384.1,121154
Chesterfield County,South Carolina,0.47,0.13,0.2,0.2,86767.9,23999.6,36922.5,36922.5,120669
Aiken County,South Carolina,0.44,0.14,0.3,0.12,81229.5,25845.8,55383.8,22153.5,117429
Anderson County,South Carolina,0.39,0.13,0.25,0.23,71998.9,23999.6,46153.1,42460.9,115177
Edgefield County,South Carolina,0.52,0.14,0.29,0.05,95998.5,25845.8,53537.6,9230.6,115107
Laurens County,South Carolina,0.52,0.13,0.23,0.12,95998.5,23999.6,42460.9,22153.5,114869
Marlboro County,South Carolina,0.64,0.15,0.18,0.03,118152,27691.9,33230.3,5538.4,112493
Spartanburg County,South Carolina,0.44,0.14,0.25,0.17,81229.5,25845.8,46153.1,31384.1,109379
Greenville County,South Carolina,0.38,0.17,0.27,0.18,70152.8,31384.1,49845.4,33230.3,108676
Charleston County,South Carolina,0.39,0.2,0.29,0.12,71998.9,36922.5,53537.6,22153.5,106380
Chester County,South Carolina,0.56,0.13,0.2,0.11,103383,23999.6,36922.5,20307.4,105231
Lexington County,South Carolina,0.38,0.18,0.3,0.14,70152.8,33230.3,55383.8,25845.8,102778
Kershaw County,South Carolina,0.44,0.18,0.28,0.1,81229.5,33230.3,51691.5,18461.3,101822
Dorchester County,South Carolina,0.45,0.21,0.36,-0.02,83075.6,38768.6,66460.5,-3692.3,100352
Jasper County,South Carolina,0.64,0.14,0.3,-0.08,118152,25845.8,55383.8,-14769,100236
Orangeburg County,South Carolina,0.58,0.18,0.24,0,107075.3,33230.3,44307,,99667
Marion County,South Carolina,0.59,0.16,0.22,0.03,108921.4,29538,40614.8,5538.4,99413
Greenwood County,South Carolina,0.49,0.16,0.2,0.15,90460.1,29538,36922.5,27691.9,96288
Fairfield County,South Carolina,0.5,0.15,0.33,0.02,92306.3,27691.9,60922.1,3692.3,95040
Clarendon County,South Carolina,0.48,0.14,0.26,0.12,88614,25845.8,47999.3,22153.5,94143
Berkeley County,South Carolina,0.45,0.2,0.35,0,83075.6,36922.5,64614.4,,93765
Florence County,South Carolina,0.49,0.2,0.27,0.04,90460.1,36922.5,49845.4,7384.5,93695
Colleton County,South Carolina,0.53,0.16,0.28,0.03,97844.6,29538,51691.5,5538.4,92806
Hampton County,South Carolina,0.54,0.16,0.25,0.05,99690.8,29538,46153.1,9230.6,90600
Richland County,South Carolina,0.46,0.25,0.3,-0.01,84921.8,46153.1,55383.8,-1846.1,87744
Darlington County,South Carolina,0.55,0.16,0.21,0.08,101536.9,29538,38768.6,14769,86144
Abbeville County,South Carolina,0.46,0.16,0.2,0.18,84921.8,29538,36922.5,33230.3,84500
Williamsburg County,South Carolina,0.58,0.18,0.22,0.02,107075.3,33230.3,40614.8,3692.3,78861
Sumter County,South Carolina,0.46,0.18,0.3,0.06,84921.8,33230.3,55383.8,11076.8,78839
Union County,South Carolina,0.52,0.13,0.17,0.18,95998.5,23999.6,31384.1,33230.3,75477
Barnwell County,South Carolina,0.58,0.18,0.26,-0.02,107075.3,33230.3,47999.3,-3692.3,70594
Beadle County,South Dakota,0.21,0.17,0.35,0.27,38768.6,31384.1,64614.4,49845.4,107812
Codington County,South Dakota,0.19,0.18,0.31,0.32,35076.4,33230.3,57229.9,59076,99033
Brown County,South Dakota,0.14,0.19,0.36,0.31,25845.8,35076.4,66460.5,57229.9,88295
Pennington County,South Dakota,0.2,0.19,0.33,0.28,36922.5,35076.4,60922.1,51691.5,86963
Brookings County,South Dakota,0.14,0.23,0.3,0.33,25845.8,42460.9,55383.8,60922.1,86474
Minnehaha County,South Dakota,0.18,0.23,0.34,0.25,33230.3,42460.9,62768.3,46153.1,84909
Yankton County,South Dakota,0.19,0.25,0.31,0.25,35076.4,46153.1,57229.9,46153.1,76916
Davison County,South Dakota,0.21,0.19,0.29,0.31,38768.6,35076.4,53537.6,57229.9,75432
Lawrence County,South Dakota,0.16,0.18,0.35,0.31,29538,33230.3,64614.4,57229.9,73367
Lincoln County,South Dakota,0.11,0.26,0.41,0.22,20307.4,47999.3,75691.1,40614.8,65065
Union County,South Dakota,0.19,0.22,0.35,0.24,35076.4,40614.8,64614.4,44307,64273
Meade County,South Dakota,0.17,0.18,0.39,0.26,31384.1,33230.3,71998.9,47999.3,44122
Franklin County,Tennessee,0.39,0.09,0.31,0.21,71998.9,16615.1,57229.9,38768.6,196433
Bedford County,Tennessee,0.48,0.09,0.28,0.15,88614,16615.1,51691.5,27691.9,179433
Fayette County,Tennessee,0.35,0.12,0.31,0.22,64614.4,22153.5,57229.9,40614.8,172917
Loudon County,Tennessee,0.31,0.08,0.29,0.32,57229.9,14769,53537.6,59076,167513
Sullivan County,Tennessee,0.37,0.11,0.31,0.21,68306.6,20307.4,57229.9,38768.6,166764
Lincoln County,Tennessee,0.35,0.1,0.31,0.24,64614.4,18461.3,57229.9,44307,163520
Cumberland County,Tennessee,0.34,0.09,0.28,0.29,62768.3,16615.1,51691.5,53537.6,155400
Lawrence County,Tennessee,0.41,0.1,0.21,0.28,75691.1,18461.3,38768.6,51691.5,154790
Marion County,Tennessee,0.45,0.11,0.25,0.19,83075.6,20307.4,46153.1,35076.4,153045
Hawkins County,Tennessee,0.42,0.08,0.32,0.18,77537.3,14769,59076,33230.3,150100
Hamblen County,Tennessee,0.44,0.1,0.3,0.16,81229.5,18461.3,55383.8,29538,145310
McMinn County,Tennessee,0.43,0.09,0.29,0.19,79383.4,16615.1,53537.6,35076.4,137844
Weakley County,Tennessee,0.35,0.13,0.28,0.24,64614.4,23999.6,51691.5,44307,136031
Washington County,Tennessee,0.36,0.15,0.32,0.17,66460.5,27691.9,59076,31384.1,133333
Robertson County,Tennessee,0.38,0.13,0.33,0.16,70152.8,23999.6,60922.1,29538,133308
Campbell County,Tennessee,0.51,0.08,0.28,0.13,94152.4,14769,51691.5,23999.6,132725
Henry County,Tennessee,0.36,0.12,0.22,0.3,66460.5,22153.5,40614.8,55383.8,131417
Warren County,Tennessee,0.42,0.09,0.28,0.21,77537.3,16615.1,51691.5,38768.6,130922
Monroe County,Tennessee,0.41,0.1,0.3,0.19,75691.1,18461.3,55383.8,35076.4,127390
Roane County,Tennessee,0.39,0.11,0.28,0.22,71998.9,20307.4,51691.5,40614.8,126745
Blount County,Tennessee,0.33,0.13,0.32,0.22,60922.1,23999.6,59076,40614.8,121869
Williamson County,Tennessee,0.16,0.15,0.31,0.38,29538,27691.9,57229.9,70152.8,121667
Greene County,Tennessee,0.39,0.1,0.3,0.21,71998.9,18461.3,55383.8,38768.6,121420
Marshall County,Tennessee,0.39,0.12,0.36,0.13,71998.9,22153.5,66460.5,23999.6,120825
Jefferson County,Tennessee,0.38,0.1,0.32,0.2,70152.8,18461.3,59076,36922.5,120000
Carroll County,Tennessee,0.38,0.13,0.28,0.21,70152.8,23999.6,51691.5,38768.6,118592
Sevier County,Tennessee,0.44,0.1,0.33,0.13,81229.5,18461.3,60922.1,23999.6,117840
Anderson County,Tennessee,0.38,0.12,0.28,0.22,70152.8,22153.5,51691.5,40614.8,116667
Claiborne County,Tennessee,0.4,0.12,0.28,0.2,73845,22153.5,51691.5,36922.5,116342
Carter County,Tennessee,0.42,0.11,0.29,0.18,77537.3,20307.4,53537.6,33230.3,116191
Coffee County,Tennessee,0.44,0.11,0.3,0.15,81229.5,20307.4,55383.8,27691.9,115827
Obion County,Tennessee,0.43,0.11,0.29,0.17,79383.4,20307.4,53537.6,31384.1,114691
Knox County,Tennessee,0.35,0.16,0.3,0.19,64614.4,29538,55383.8,35076.4,114269
Putnam County,Tennessee,0.37,0.14,0.28,0.21,68306.6,25845.8,51691.5,38768.6,113171
Bradley County,Tennessee,0.42,0.14,0.32,0.12,77537.3,25845.8,59076,22153.5,111114
Madison County,Tennessee,0.43,0.17,0.28,0.12,79383.4,31384.1,51691.5,22153.5,106906
Davidson County,Tennessee,0.38,0.2,0.26,0.16,70152.8,36922.5,47999.3,29538,104770
Dyer County,Tennessee,0.47,0.1,0.26,0.17,86767.9,18461.3,47999.3,31384.1,103180
Wilson County,Tennessee,0.29,0.16,0.33,0.22,53537.6,29538,60922.1,40614.8,102613
Hamilton County,Tennessee,0.39,0.16,0.29,0.16,71998.9,29538,53537.6,29538,101156
Hardeman County,Tennessee,0.46,0.15,0.32,0.07,84921.8,27691.9,59076,12922.9,99993
Shelby County,Tennessee,0.45,0.2,0.26,0.09,83075.6,36922.5,47999.3,16615.1,96990
Cheatham County,Tennessee,0.34,0.15,0.31,0.2,62768.3,27691.9,57229.9,36922.5,96027
Dickson County,Tennessee,0.4,0.13,0.29,0.18,73845,23999.6,53537.6,33230.3,95238
Sumner County,Tennessee,0.32,0.16,0.36,0.16,59076,29538,66460.5,29538,92181
Rutherford County,Tennessee,0.38,0.2,0.33,0.09,70152.8,36922.5,60922.1,16615.1,88455
Maury County,Tennessee,0.35,0.14,0.31,0.2,64614.4,25845.8,57229.9,36922.5,88193
Gibson County,Tennessee,0.45,0.14,0.26,0.15,83075.6,25845.8,47999.3,27691.9,77007
Tipton County,Tennessee,0.39,0.19,0.34,0.08,71998.9,35076.4,62768.3,14769,76426
Montgomery County,Tennessee,0.37,0.24,0.4,-0.01,68306.6,44307,73845,-1846.1,67767
Giles County,Tennessee,0.36,0.16,0.25,0.23,66460.5,29538,46153.1,42460.9,62131
Lauderdale County,Tennessee,0.46,0.15,0.3,0.09,84921.8,27691.9,55383.8,16615.1,58433
Hood County,Texas,0.37,0.11,0.34,0.18,68306.6,20307.4,62768.3,33230.3,188882
Polk County,Texas,0.38,0.07,0.28,0.27,70152.8,12922.9,51691.5,49845.4,159557
Ector County,Texas,0.57,0.09,0.36,-0.02,105229.1,16615.1,66460.5,-3692.3,158956
Cherokee County,Texas,0.56,0.08,0.26,0.1,103383,14769,47999.3,18461.3,155288
Val Verde County,Texas,0.45,0.08,0.32,0.15,83075.6,14769,59076,27691.9,154400
Gillespie County,Texas,0.29,0.12,0.29,0.3,53537.6,22153.5,53537.6,55383.8,153150
Kendall County,Texas,0.27,0.11,0.36,0.26,49845.4,20307.4,66460.5,47999.3,146427
Nacogdoches County,Texas,0.51,0.13,0.26,0.1,94152.4,23999.6,47999.3,18461.3,141962
Matagorda County,Texas,0.47,0.1,0.29,0.14,86767.9,18461.3,53537.6,25845.8,140940
Kerr County,Texas,0.37,0.11,0.27,0.25,68306.6,20307.4,49845.4,46153.1,136209
Grayson County,Texas,0.47,0.12,0.31,0.1,86767.9,22153.5,57229.9,18461.3,134217
Henderson County,Texas,0.49,0.11,0.32,0.08,90460.1,20307.4,59076,14769,131618
Hunt County,Texas,0.51,0.15,0.36,-0.02,94152.4,27691.9,66460.5,-3692.3,131487
Angelina County,Texas,0.48,0.09,0.35,0.08,88614,16615.1,64614.4,14769,131278
Victoria County,Texas,0.46,0.1,0.31,0.13,84921.8,18461.3,57229.9,23999.6,130360
Gregg County,Texas,0.52,0.12,0.28,0.08,95998.5,22153.5,51691.5,14769,129167
Fannin County,Texas,0.47,0.11,0.31,0.11,86767.9,20307.4,57229.9,20307.4,129091
Brazoria County,Texas,0.38,0.15,0.38,0.09,70152.8,27691.9,70152.8,16615.1,128013
Washington County,Texas,0.33,0.11,0.3,0.26,60922.1,20307.4,55383.8,47999.3,127682
Cass County,Texas,0.45,0.1,0.32,0.13,83075.6,18461.3,59076,23999.6,127330
Bastrop County,Texas,0.48,0.13,0.36,0.03,88614,23999.6,66460.5,5538.4,126508
Jasper County,Texas,0.48,0.11,0.33,0.08,88614,20307.4,60922.1,14769,125036
Bowie County,Texas,0.5,0.11,0.32,0.07,92306.3,20307.4,59076,12922.9,123018
Van Zandt County,Texas,0.46,0.1,0.28,0.16,84921.8,18461.3,51691.5,29538,119660
Collin County,Texas,0.28,0.16,0.36,0.2,51691.5,29538,66460.5,36922.5,118281
Burnet County,Texas,0.39,0.12,0.32,0.17,71998.9,22153.5,59076,31384.1,117258
Jim Wells County,Texas,0.59,0.13,0.39,-0.11,108921.4,23999.6,71998.9,-20307.4,116846
Montgomery County,Texas,0.34,0.13,0.35,0.18,62768.3,23999.6,64614.4,33230.3,116115
Midland County,Texas,0.42,0.11,0.35,0.12,77537.3,20307.4,64614.4,22153.5,115673
Maverick County,Texas,0.51,0.09,0.29,0.11,94152.4,16615.1,53537.6,20307.4,115511
Wood County,Texas,0.39,0.08,0.29,0.24,71998.9,14769,53537.6,44307,114025
Wichita County,Texas,0.45,0.13,0.32,0.1,83075.6,23999.6,59076,18461.3,114023
Dallas County,Texas,0.48,0.15,0.27,0.1,88614,27691.9,49845.4,18461.3,112187
Anderson County,Texas,0.54,0.12,0.32,0.02,99690.8,22153.5,59076,3692.3,111633
Erath County,Texas,0.43,0.17,0.37,0.03,79383.4,31384.1,68306.6,5538.4,111529
Fort Bend County,Texas,0.29,0.17,0.35,0.19,53537.6,31384.1,64614.4,35076.4,110718
Parker County,Texas,0.38,0.12,0.38,0.12,70152.8,22153.5,70152.8,22153.5,110367
Galveston County,Texas,0.4,0.14,0.34,0.12,73845,25845.8,62768.3,22153.5,110279
Kaufman County,Texas,0.49,0.15,0.39,-0.03,90460.1,27691.9,71998.9,-5538.4,110000
Jefferson County,Texas,0.48,0.13,0.31,0.08,88614,23999.6,57229.9,14769,109715
Wilson County,Texas,0.4,0.14,0.41,0.05,73845,25845.8,75691.1,9230.6,109279
Rockwall County,Texas,0.34,0.17,0.43,0.06,62768.3,31384.1,79383.4,11076.8,108606
Orange County,Texas,0.5,0.12,0.33,0.05,92306.3,22153.5,60922.1,9230.6,108392
San Patricio County,Texas,0.54,0.13,0.39,-0.06,99690.8,23999.6,71998.9,-11076.8,108269
Caldwell County,Texas,0.56,0.11,0.35,-0.02,103383,20307.4,64614.4,-3692.3,107782
Comal County,Texas,0.3,0.16,0.38,0.16,55383.8,29538,70152.8,29538,107406
Harris County,Texas,0.44,0.15,0.29,0.12,81229.5,27691.9,53537.6,22153.5,106680
Travis County,Texas,0.37,0.17,0.3,0.16,68306.6,31384.1,55383.8,29538,106259
Johnson County,Texas,0.48,0.14,0.35,0.03,88614,25845.8,64614.4,5538.4,104343
Hale County,Texas,0.53,0.14,0.32,0.01,97844.6,25845.8,59076,1846.1,104050
Smith County,Texas,0.47,0.14,0.31,0.08,86767.9,25845.8,57229.9,14769,103593
Starr County,Texas,0.5,0.1,0.28,0.12,92306.3,18461.3,51691.5,22153.5,102930
Liberty County,Texas,0.51,0.1,0.33,0.06,94152.4,18461.3,60922.1,11076.8,102810
Denton County,Texas,0.34,0.19,0.38,0.09,62768.3,35076.4,70152.8,16615.1,101884
Randall County,Texas,0.37,0.15,0.35,0.13,68306.6,27691.9,64614.4,23999.6,101753
Taylor County,Texas,0.45,0.16,0.36,0.03,83075.6,29538,66460.5,5538.4,101706
Navarro County,Texas,0.51,0.16,0.29,0.04,94152.4,29538,53537.6,7384.5,101375
Tarrant County,Texas,0.46,0.16,0.32,0.06,84921.8,29538,59076,11076.8,101181
Lamar County,Texas,0.48,0.1,0.32,0.1,88614,18461.3,59076,18461.3,100610
Webb County,Texas,0.5,0.11,0.26,0.13,92306.3,20307.4,47999.3,23999.6,100082
Upshur County,Texas,0.53,0.12,0.34,0.01,97844.6,22153.5,62768.3,1846.1,99642
Potter County,Texas,0.57,0.13,0.25,0.05,105229.1,23999.6,46153.1,9230.6,98838
Lubbock County,Texas,0.46,0.18,0.33,0.03,84921.8,33230.3,60922.1,5538.4,97511
Kleberg County,Texas,0.49,0.17,0.33,0.01,90460.1,31384.1,60922.1,1846.1,97218
Hopkins County,Texas,0.46,0.1,0.29,0.15,84921.8,18461.3,53537.6,27691.9,97050
Guadalupe County,Texas,0.39,0.16,0.42,0.03,71998.9,29538,77537.3,5538.4,96563
Williamson County,Texas,0.33,0.18,0.4,0.09,60922.1,33230.3,73845,16615.1,94883
Bexar County,Texas,0.47,0.17,0.35,0.01,86767.9,31384.1,64614.4,1846.1,93153
Harrison County,Texas,0.58,0.13,0.31,-0.02,107075.3,23999.6,57229.9,-3692.3,93038
Medina County,Texas,0.44,0.15,0.42,-0.01,81229.5,27691.9,77537.3,-1846.1,93007
Hardin County,Texas,0.43,0.13,0.38,0.06,79383.4,23999.6,70152.8,11076.8,91615
Waller County,Texas,0.44,0.16,0.36,0.04,81229.5,29538,66460.5,7384.5,91450
Howard County,Texas,0.54,0.12,0.36,-0.02,99690.8,22153.5,66460.5,-3692.3,89533
Tom Green County,Texas,0.45,0.14,0.34,0.07,83075.6,25845.8,62768.3,12922.9,88200
Austin County,Texas,0.35,0.12,0.33,0.2,64614.4,22153.5,60922.1,36922.5,87858
McLennan County,Texas,0.47,0.2,0.35,-0.02,86767.9,36922.5,64614.4,-3692.3,86870
Brazos County,Texas,0.34,0.18,0.31,0.17,62768.3,33230.3,57229.9,31384.1,85378
Nueces County,Texas,0.52,0.15,0.35,-0.02,95998.5,27691.9,64614.4,-3692.3,85353
Ellis County,Texas,0.44,0.19,0.37,0,81229.5,35076.4,68306.6,,85347
Rusk County,Texas,0.49,0.12,0.33,0.06,90460.1,22153.5,60922.1,11076.8,83517
Coryell County,Texas,0.44,0.18,0.42,-0.04,81229.5,33230.3,77537.3,-7384.5,81444
Atascosa County,Texas,0.51,0.13,0.38,-0.02,94152.4,23999.6,70152.8,-3692.3,79946
Wise County,Texas,0.39,0.14,0.39,0.08,71998.9,25845.8,71998.9,14769,79579
Bell County,Texas,0.43,0.19,0.41,-0.03,79383.4,35076.4,75691.1,-5538.4,79484
Hill County,Texas,0.46,0.14,0.32,0.08,84921.8,25845.8,59076,14769,79386
Walker County,Texas,0.44,0.21,0.34,0.01,81229.5,38768.6,62768.3,1846.1,79181
Hidalgo County,Texas,0.52,0.13,0.29,0.06,95998.5,23999.6,53537.6,11076.8,78985
Cooke County,Texas,0.44,0.12,0.29,0.15,81229.5,22153.5,53537.6,27691.9,78875
Uvalde County,Texas,0.48,0.14,0.33,0.05,88614,25845.8,60922.1,9230.6,76693
Hays County,Texas,0.4,0.2,0.38,0.02,73845,36922.5,70152.8,3692.2,76655
Limestone County,Texas,0.51,0.15,0.31,0.03,94152.4,27691.9,57229.9,5538.4,73120
Wharton County,Texas,0.44,0.13,0.32,0.11,81229.5,23999.6,59076,20307.4,73077
El Paso County,Texas,0.45,0.18,0.33,0.04,83075.6,33230.3,60922.1,7384.5,72311
