Name,County,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty Rate,State
"Maricao Municipio, Puerto Rico",Maricao Municipio,6180.0,42.7,13462.0,5943.0,204.0,4020.0,65.04854368932038, Puerto Rico
"Aibonito Municipio, Puerto Rico",Aibonito Municipio,24008.0,40.7,18387.0,10224.0,416.0,11806.0,49.17527490836388, Puerto Rico
"Guayanilla Municipio, Puerto Rico",Guayanilla Municipio,19578.0,40.3,14988.0,8347.0,1421.0,10869.0,55.51639595464297, Puerto Rico
"Juncos Municipio, Puerto Rico",Juncos Municipio,39704.0,37.6,18533.0,9017.0,4169.0,20219.0,50.9243401168648, Puerto Rico
"Lajas Municipio, Puerto Rico",Lajas Municipio,23893.0,43.4,13896.0,7229.0,1073.0,14454.0,60.494705562298584, Puerto Rico
"Sabana Grande Municipio, Puerto Rico",Sabana Grande Municipio,23610.0,40.9,15736.0,9158.0,1481.0,11506.0,48.73358746293943, Puerto Rico
"Adjuntas Municipio, Puerto Rico",Adjuntas Municipio,18525.0,39.5,11680.0,7117.0,2573.0,11849.0,63.96221322537112, Puerto Rico
"Camuy Municipio, Puerto Rico",Camuy Municipio,32936.0,40.1,17579.0,9738.0,2113.0,15927.0,48.35742045178528, Puerto Rico
"Guánica Municipio, Puerto Rico",Guánica Municipio,17327.0,41.4,12653.0,7207.0,1509.0,11288.0,65.14688059098516, Puerto Rico
"Hormigueros Municipio, Puerto Rico",Hormigueros Municipio,16474.0,45.1,19674.0,11588.0,1445.0,6476.0,39.31042855408523, Puerto Rico
"Manatí Municipio, Puerto Rico",Manatí Municipio,40705.0,40.9,18191.0,10559.0,2385.0,18707.0,45.95749907873726, Puerto Rico
"Naguabo Municipio, Puerto Rico",Naguabo Municipio,26584.0,37.0,18976.0,10016.0,893.0,13071.0,49.168672885946435, Puerto Rico
"Naranjito Municipio, Puerto Rico",Naranjito Municipio,29112.0,38.7,18069.0,8996.0,2373.0,13748.0,47.22451222863424, Puerto Rico
"San Germán Municipio, Puerto Rico",San Germán Municipio,32937.0,42.7,15036.0,9563.0,765.0,16701.0,50.70589306858548, Puerto Rico
"Utuado Municipio, Puerto Rico",Utuado Municipio,30209.0,41.7,15931.0,8140.0,2816.0,16000.0,52.96434837300142, Puerto Rico
"Arecibo Municipio, Puerto Rico",Arecibo Municipio,89550.0,41.4,17289.0,9954.0,4849.0,43039.0,48.06141820212172, Puerto Rico
"Arroyo Municipio, Puerto Rico",Arroyo Municipio,18504.0,38.7,15689.0,7639.0,699.0,10487.0,56.674232598357115, Puerto Rico
"Cataño Municipio, Puerto Rico",Cataño Municipio,25595.0,39.1,18663.0,11627.0,2988.0,12639.0,49.38073842547372, Puerto Rico
"Florida Municipio, Puerto Rico",Florida Municipio,12140.0,38.2,16919.0,7837.0,649.0,6839.0,56.33443163097199, Puerto Rico
"Hatillo Municipio, Puerto Rico",Hatillo Municipio,40978.0,40.7,17770.0,10360.0,1250.0,18522.0,45.19986334130509, Puerto Rico
"Humacao Municipio, Puerto Rico",Humacao Municipio,54736.0,41.3,18735.0,11682.0,2286.0,24820.0,45.34492838351359, Puerto Rico
"Juana Díaz Municipio, Puerto Rico",Juana Díaz Municipio,47952.0,37.5,20228.0,10244.0,4240.0,22662.0,47.25975975975976, Puerto Rico
"Morovis Municipio, Puerto Rico",Morovis Municipio,31785.0,37.0,18739.0,8816.0,2204.0,15639.0,49.20245398773006, Puerto Rico
"Mayagüez Municipio, Puerto Rico",Mayagüez Municipio,79615.0,39.9,14642.0,10656.0,6999.0,40790.0,51.234063932676, Puerto Rico
"Santa Isabel Municipio, Puerto Rico",Santa Isabel Municipio,22475.0,37.2,16816.0,10478.0,788.0,11045.0,49.143492769744164, Puerto Rico
"Trujillo Alto Municipio, Puerto Rico",Trujillo Alto Municipio,69478.0,39.3,31202.0,15703.0,2199.0,21009.0,30.238348829845417, Puerto Rico
"Quebradillas Municipio, Puerto Rico",Quebradillas Municipio,24548.0,39.3,16082.0,9287.0,982.0,12679.0,51.6498289066319, Puerto Rico
"Guayama Municipio, Puerto Rico",Guayama Municipio,42623.0,37.5,15296.0,9183.0,813.0,22269.0,52.24643971564648, Puerto Rico
"Moca Municipio, Puerto Rico",Moca Municipio,37676.0,38.6,13413.0,7881.0,3076.0,21615.0,57.3707399936299, Puerto Rico
"Culebra Municipio, Puerto Rico",Culebra Municipio,1494.0,39.3,23355.0,11450.0,11.0,615.0,41.16465863453815, Puerto Rico
"Gurabo Municipio, Puerto Rico",Gurabo Municipio,47074.0,38.3,32625.0,16559.0,3099.0,14583.0,30.978884309810088, Puerto Rico
"Salinas Municipio, Puerto Rico",Salinas Municipio,29239.0,38.4,16246.0,8738.0,833.0,15586.0,53.305516604535036, Puerto Rico
"Barceloneta Municipio, Puerto Rico",Barceloneta Municipio,24583.0,38.7,17113.0,8762.0,1319.0,11936.0,48.55387869666029, Puerto Rico
"Loíza Municipio, Puerto Rico",Loíza Municipio,27242.0,37.5,17273.0,8729.0,3012.0,14113.0,51.806034799207104, Puerto Rico
"Yauco Municipio, Puerto Rico",Yauco Municipio,37585.0,42.1,14451.0,8124.0,2847.0,18800.0,50.01995476918984, Puerto Rico
"Guaynabo Municipio, Puerto Rico",Guaynabo Municipio,90773.0,42.7,34060.0,24264.0,4297.0,24289.0,26.7579566611217, Puerto Rico
"Aguadilla Municipio, Puerto Rico",Aguadilla Municipio,55722.0,40.6,16821.0,10872.0,4040.0,27928.0,50.12023976167402, Puerto Rico
"Cabo Rojo Municipio, Puerto Rico",Cabo Rojo Municipio,49726.0,42.3,16461.0,9523.0,1835.0,26021.0,52.32876161364276, Puerto Rico
"Fajardo Municipio, Puerto Rico",Fajardo Municipio,33075.0,40.7,18941.0,10900.0,4019.0,14371.0,43.44973544973545, Puerto Rico
"Las Marías Municipio, Puerto Rico",Las Marías Municipio,8874.0,40.1,14404.0,7154.0,57.0,5070.0,57.133198106828935, Puerto Rico
"Patillas Municipio, Puerto Rico",Patillas Municipio,17769.0,43.3,14512.0,8679.0,1004.0,10182.0,57.30204288367381, Puerto Rico
"Rincón Municipio, Puerto Rico",Rincón Municipio,14526.0,44.6,18292.0,10220.0,708.0,7047.0,48.513011152416354, Puerto Rico
"Villalba Municipio, Puerto Rico",Villalba Municipio,23659.0,37.6,19893.0,10449.0,2268.0,11740.0,49.621708440762504, Puerto Rico
